Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
William Agada,NGA,FW,24,8.9,3,42,13,31.0,4.73,1.46,0.07,0.23,15.7,0.0,0,1,6.4,5.6,0.14,-3.4,-2.6,Sporting Kansas City
Rémi Walter,FRA,MF,29,8.0,2,4,2,50.0,0.5,0.25,0.5,1.0,22.8,1.0,0,0,0.3,0.3,0.08,1.7,1.7,Sporting Kansas City
Robert Voloder,BIH,DF,23,6.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sporting Kansas City
Robert Castellanos,USA,DF,26,5.0,1,3,1,33.3,0.6,0.2,0.33,1.0,10.1,0.0,0,0,0.6,0.6,0.2,0.4,0.4,Sporting Kansas City
Zorhan Bassong,CAN,DF,25,4.0,0,1,0,0.0,0.25,0.0,0.0,,28.1,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Sporting Kansas City
Alenis Vargas,HON,FW,20,2.9,2,5,3,60.0,1.74,1.05,0.4,0.67,9.9,0.0,0,0,0.6,0.6,0.12,1.4,1.4,Sporting Kansas City
Felipe Hernandez,USA,MF,26,4.2,0,3,0,0.0,0.72,0.0,0.0,,17.0,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Sporting Kansas City
Khiry Shelton,USA,DF,30,2.7,0,1,0,0.0,0.38,0.0,0.0,,28.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Sporting Kansas City
John Pulskamp,USA,GK,23,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sporting Kansas City
Marinos Tzionis,CYP,FW,22,1.9,1,2,1,50.0,1.05,0.52,0.5,1.0,16.3,0.0,0,0,0.2,0.2,0.1,0.8,0.8,Sporting Kansas City
Stephen Afrifa,CAN,FW,23,1.8,1,4,2,50.0,2.17,1.08,0.25,0.5,14.9,0.0,0,0,0.5,0.5,0.13,0.5,0.5,Sporting Kansas City
Kayden Pierre,USA,DF,21,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sporting Kansas City
