Player,Nation,POS,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team
Zac McGraw,CAN,DF,27,6.6,3.0,0.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
David Ayala,ARG,MF,21,6.2,11.0,1.77,8.0,0.0,2.0,0.0,0.0,1.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Eryk Williamson,USA,MF,27,6.2,16.0,2.59,13.0,1.0,0.0,2.0,0.0,0.0,2.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Claudio Bravo,ARG,DF,27,6.0,7.0,1.16,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
James Pantemis,CAN,GK,27,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Nathan Fogaça,BRA,FW,25,1.8,7.0,3.91,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.56,0.0,0.0,0.0,0.0,1.0,0.0,Portland Timbers
Larrys Mabiala,COD,DF,36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland Timbers
Cristian Roldan,USA,MF,29,17.1,54.0,3.15,44.0,4.0,1.0,1.0,4.0,0.0,5.0,0.29,4.0,0.0,0.0,0.0,1.0,0.0,Seattle Sounders
Jackson Ragen,USA,DF,25,16.2,15.0,0.92,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Jordan Morris,USA,FW,29,16.1,48.0,2.98,44.0,0.0,1.0,2.0,1.0,0.0,5.0,0.31,4.0,0.0,0.0,0.0,1.0,0.0,Seattle Sounders
Alex Roldan,SLV,DF,27,13.4,33.0,2.47,26.0,3.0,2.0,1.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
Obed Vargas,USA,MF,18,14.8,38.0,2.57,26.0,2.0,2.0,4.0,2.0,2.0,7.0,0.47,3.0,1.0,0.0,1.0,1.0,1.0,Seattle Sounders
Stefan Frei,SUI,GK,38,13.3,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle Sounders
